family_id,split,样本ID列表,主路由fqdn,主能力base_fqdn,一级领域,二级能力,是否l3,场景桶,主对象,主动作,次要意图模式,主要混淆类型,备注
dev_permit_gov_cn_f01,dev,formal_dev_000001,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,再把对应依据列一下,词面重叠；治理回落；多意图,
dev_permit_gov_cn_f02,dev,formal_dev_000002,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,无,词面重叠；治理回落,
dev_permit_gov_cn_f03,dev,formal_dev_000003,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,再把对应依据列一下,词面重叠；治理回落；多意图,
blind_permit_gov_cn_f01,blind,formal_blind_000001,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,无,词面重叠；治理回落,
blind_permit_gov_cn_f02,blind,formal_blind_000002,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,顺便整理成办理清单,词面重叠；治理回落；多意图,
challenge_permit_gov_cn_f01,challenge,formal_challenge_000001,permit.gov.cn,permit.gov.cn,gov,permit,否,工信,准入手续,许可备案,再把对应依据列一下,词面重叠；治理回落；多意图,
dev_policy_gov_cn_f01,dev,formal_dev_000004,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,顺便列个检查提纲,词面重叠；跨域重叠；多意图,
dev_policy_gov_cn_f02,dev,formal_dev_000005,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,无,词面重叠,
dev_policy_gov_cn_f03,dev,formal_dev_000006,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,顺便列个检查提纲,词面重叠；跨域重叠；多意图,
blind_policy_gov_cn_f01,blind,formal_blind_000003,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,无,词面重叠,
blind_policy_gov_cn_f02,blind,formal_blind_000004,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,顺便列个检查提纲,词面重叠；跨域重叠；多意图,
challenge_policy_gov_cn_f01,challenge,formal_challenge_000002,policy.gov.cn,policy.gov.cn,gov,policy,否,工信,政策规范,政策检索,无,词面重叠,
dev_compliance_security_cn_f01,dev,formal_dev_000007,data.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,数据出境与留存,数据合规检查,再补风险关注点,治理回落；多意图；粒度回落,
dev_compliance_security_cn_f02,dev,formal_dev_000008,compliance.security.cn,compliance.security.cn,security,compliance,否,工信,合规检查,合规审查,无,治理回落,
dev_compliance_security_cn_f03,dev,formal_dev_000009,transaction.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,交易对象核验,交易对象合规检查,再补风险关注点,治理回落；多意图；粒度回落,
dev_compliance_security_cn_f04,dev,formal_dev_000010,account.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,账号实名与权限,账号合规检查,顺便整理留档要点,治理回落；多意图；粒度回落,
blind_compliance_security_cn_f01,blind,formal_blind_000005,data.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,数据出境与留存,数据合规检查,再补风险关注点,治理回落；多意图；粒度回落,
blind_compliance_security_cn_f02,blind,formal_blind_000006,compliance.security.cn,compliance.security.cn,security,compliance,否,工信,合规检查,合规审查,无,治理回落,
blind_compliance_security_cn_f03,blind,formal_blind_000007,transaction.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,交易对象核验,交易对象合规检查,再补风险关注点,治理回落；多意图；粒度回落,
challenge_compliance_security_cn_f01,challenge,formal_challenge_000003,compliance.security.cn,compliance.security.cn,security,compliance,否,工信,合规检查,合规审查,无,治理回落,
challenge_compliance_security_cn_f02,challenge,formal_challenge_000004,data.compliance.security.cn,compliance.security.cn,security,compliance,是,工信,数据出境与留存,数据合规检查,顺便整理留档要点,治理回落；多意图；粒度回落,
dev_risk_security_cn_f01,dev,formal_dev_000011,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,再看看是否会牵出数据合规问题,治理回落；多意图,
dev_risk_security_cn_f02,dev,formal_dev_000012,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,无,治理回落,
dev_risk_security_cn_f03,dev,formal_dev_000013,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,再看看是否会牵出数据合规问题,治理回落；多意图,
blind_risk_security_cn_f01,blind,formal_blind_000008,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,无,治理回落,
blind_risk_security_cn_f02,blind,formal_blind_000009,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,再看看是否会牵出数据合规问题,治理回落；多意图,
challenge_risk_security_cn_f01,challenge,formal_challenge_000005,risk.security.cn,risk.security.cn,security,risk,否,工信,风险检查,风险评估,无,治理回落,
dev_fraud_security_cn_f01,dev,formal_dev_000014,fraud.security.cn,fraud.security.cn,security,fraud,否,非工信,反欺诈,异常识别,再补一份风险关注点,跨域重叠；多意图,
blind_fraud_security_cn_f01,blind,formal_blind_000010,fraud.security.cn,fraud.security.cn,security,fraud,否,非工信,反欺诈,异常识别,无,跨域重叠,
challenge_fraud_security_cn_f01,challenge,formal_challenge_000006,fraud.security.cn,fraud.security.cn,security,fraud,否,非工信,反欺诈,异常识别,无,跨域重叠,
dev_invoice_finance_cn_f01,dev,formal_dev_000015,verify.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,发票验真,验真查验,再补税务字段提醒,兄弟竞争；粒度回落；跨域重叠；多意图,
dev_invoice_finance_cn_f02,dev,formal_dev_000016,invoice.finance.cn,invoice.finance.cn,finance,invoice,否,工信,发票处理,发票处理,无,兄弟竞争；粒度回落,
dev_invoice_finance_cn_f03,dev,formal_dev_000017,issue.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,开票动作,发票开具,再补税务字段提醒,兄弟竞争；粒度回落；跨域重叠；多意图,
dev_invoice_finance_cn_f04,dev,formal_dev_000018,reimburse.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,报销入账,报销判断,顺便整理入账口径,兄弟竞争；粒度回落；多意图,
blind_invoice_finance_cn_f01,blind,formal_blind_000011,verify.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,发票验真,验真查验,再补税务字段提醒,兄弟竞争；粒度回落；跨域重叠；多意图,
blind_invoice_finance_cn_f02,blind,formal_blind_000012,invoice.finance.cn,invoice.finance.cn,finance,invoice,否,工信,发票处理,发票处理,无,兄弟竞争；粒度回落,
blind_invoice_finance_cn_f03,blind,formal_blind_000013,issue.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,开票动作,发票开具,再补税务字段提醒,兄弟竞争；粒度回落；跨域重叠；多意图,
challenge_invoice_finance_cn_f01,challenge,formal_challenge_000007,verify.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,发票验真,验真查验,无,兄弟竞争；粒度回落,
challenge_invoice_finance_cn_f02,challenge,formal_challenge_000008,issue.invoice.finance.cn,invoice.finance.cn,finance,invoice,是,工信,开票动作,发票开具,顺便整理入账口径,兄弟竞争；粒度回落；多意图,
dev_tax_finance_cn_f01,dev,formal_dev_000019,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,再把开票字段列一下,跨域重叠；多意图,
dev_tax_finance_cn_f02,dev,formal_dev_000020,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,无,跨域重叠,
dev_tax_finance_cn_f03,dev,formal_dev_000021,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,再把开票字段列一下,跨域重叠；多意图,
blind_tax_finance_cn_f01,blind,formal_blind_000014,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,无,跨域重叠,
blind_tax_finance_cn_f02,blind,formal_blind_000015,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,再把开票字段列一下,跨域重叠；多意图,
challenge_tax_finance_cn_f01,challenge,formal_challenge_000009,tax.finance.cn,tax.finance.cn,finance,tax,否,工信,税务处理,税务判断,再把开票字段列一下,跨域重叠；多意图,
dev_budget_finance_cn_f01,dev,formal_dev_000022,budget.finance.cn,budget.finance.cn,finance,budget,否,工信,预算测算,预算规划,再补采购价格参考,跨域重叠；多意图,
blind_budget_finance_cn_f01,blind,formal_blind_000016,budget.finance.cn,budget.finance.cn,finance,budget,否,工信,预算测算,预算规划,无,跨域重叠,
dev_invest_finance_cn_f01,dev,formal_dev_000023,invest.finance.cn,invest.finance.cn,finance,invest,否,非工信,投资理财,投资判断,无,跨域重叠,
blind_invest_finance_cn_f01,blind,formal_blind_000017,invest.finance.cn,invest.finance.cn,finance,invest,否,非工信,投资理财,投资判断,无,跨域重叠,
dev_meeting_productivity_cn_f01,dev,formal_dev_000024,summary.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,是,工信,会议纪要,纪要总结,顺手列个后续待办,兄弟竞争；多意图,
dev_meeting_productivity_cn_f02,dev,formal_dev_000025,meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,否,工信,会议处理,会议协同,无,兄弟竞争,
dev_meeting_productivity_cn_f03,dev,formal_dev_000026,schedule.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,是,工信,会议安排,会议排期,无,兄弟竞争,
dev_meeting_productivity_cn_f04,dev,formal_dev_000027,action-items.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,是,工信,行动项,待办提取,再补会议材料提纲,兄弟竞争；跨域重叠；多意图,
blind_meeting_productivity_cn_f01,blind,formal_blind_000018,meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,否,工信,会议处理,会议协同,无,兄弟竞争,
blind_meeting_productivity_cn_f02,blind,formal_blind_000019,summary.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,是,工信,会议纪要,纪要总结,再补会议材料提纲,兄弟竞争；跨域重叠；多意图,
challenge_meeting_productivity_cn_f01,challenge,formal_challenge_000010,summary.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,是,工信,会议纪要,纪要总结,顺手列个后续待办,兄弟竞争；多意图,
dev_docs_productivity_cn_f01,dev,formal_dev_000028,docs.productivity.cn,docs.productivity.cn,productivity,docs,否,工信,文档整理,方案提炼,顺手列个执行清单,跨域重叠；多意图,
dev_docs_productivity_cn_f02,dev,formal_dev_000029,docs.productivity.cn,docs.productivity.cn,productivity,docs,否,工信,文档整理,方案提炼,无,跨域重叠,
dev_docs_productivity_cn_f03,dev,formal_dev_000030,docs.productivity.cn,docs.productivity.cn,productivity,docs,否,工信,文档整理,方案提炼,无,跨域重叠,
dev_docs_productivity_cn_f04,dev,formal_dev_000031,docs.productivity.cn,docs.productivity.cn,productivity,docs,否,工信,文档整理,方案提炼,再补三条主要风险,跨域重叠；多意图,
blind_docs_productivity_cn_f01,blind,formal_blind_000020,docs.productivity.cn,docs.productivity.cn,productivity,docs,否,工信,文档整理,方案提炼,无,跨域重叠,
blind_docs_productivity_cn_f02,blind,formal_blind_000021,docs.productivity.cn,docs.productivity.cn,productivity,docs,否,工信,文档整理,方案提炼,再补三条主要风险,跨域重叠；多意图,
challenge_docs_productivity_cn_f01,challenge,formal_challenge_000011,docs.productivity.cn,docs.productivity.cn,productivity,docs,否,工信,文档整理,方案提炼,再补三条主要风险,跨域重叠；多意图,
dev_price_commerce_cn_f01,dev,formal_dev_000032,price.commerce.cn,price.commerce.cn,commerce,price,否,非工信,价格比较,比价,再顺手看看有没有能用的优惠,兄弟竞争；多意图,
dev_price_commerce_cn_f02,dev,formal_dev_000033,price.commerce.cn,price.commerce.cn,commerce,price,否,工信,价格比较,比价,无,兄弟竞争,
dev_price_commerce_cn_f03,dev,formal_dev_000034,price.commerce.cn,price.commerce.cn,commerce,price,否,非工信,价格比较,比价,再顺手看看有没有能用的优惠,兄弟竞争；多意图,
blind_price_commerce_cn_f01,blind,formal_blind_000022,price.commerce.cn,price.commerce.cn,commerce,price,否,工信,价格比较,比价,再顺手看看有没有能用的优惠,兄弟竞争；多意图,
challenge_price_commerce_cn_f01,challenge,formal_challenge_000012,price.commerce.cn,price.commerce.cn,commerce,price,否,非工信,价格比较,比价,无,兄弟竞争,
dev_coupon_commerce_cn_f01,dev,formal_dev_000035,coupon.commerce.cn,coupon.commerce.cn,commerce,coupon,否,非工信,优惠信息,找优惠,再看看不同渠道差价,兄弟竞争；多意图,
blind_coupon_commerce_cn_f01,blind,formal_blind_000023,coupon.commerce.cn,coupon.commerce.cn,commerce,coupon,否,非工信,优惠信息,找优惠,无,兄弟竞争,
challenge_coupon_commerce_cn_f01,challenge,formal_challenge_000013,coupon.commerce.cn,coupon.commerce.cn,commerce,coupon,否,非工信,优惠信息,找优惠,无,兄弟竞争,
dev_itinerary_travel_cn_f01,dev,formal_dev_000036,itinerary.travel.cn,itinerary.travel.cn,travel,itinerary,否,非工信,行程规划,行程安排,无,兄弟竞争,
dev_itinerary_travel_cn_f02,dev,formal_dev_000037,xian.itinerary.travel.cn,itinerary.travel.cn,travel,itinerary,是,非工信,西安行程,西安行程安排,再看看那几天的天气,兄弟竞争；跨域重叠；多意图,
blind_itinerary_travel_cn_f01,blind,formal_blind_000024,xian.itinerary.travel.cn,itinerary.travel.cn,travel,itinerary,是,非工信,西安行程,西安行程安排,顺便补几个可去的活动点,兄弟竞争；多意图,
challenge_itinerary_travel_cn_f01,challenge,formal_challenge_000014,itinerary.travel.cn,itinerary.travel.cn,travel,itinerary,否,非工信,行程规划,行程安排,无,兄弟竞争,
dev_hotel_travel_cn_f01,dev,formal_dev_000038,hotel.travel.cn,hotel.travel.cn,travel,hotel,否,非工信,酒店筛选,找酒店,无,兄弟竞争,
dev_hotel_travel_cn_f02,dev,formal_dev_000039,chengdu.hotel.travel.cn,hotel.travel.cn,travel,hotel,是,非工信,成都酒店,成都住宿筛选,再看看通勤和接驳,兄弟竞争；多意图,
blind_hotel_travel_cn_f01,blind,formal_blind_000025,chengdu.hotel.travel.cn,hotel.travel.cn,travel,hotel,是,非工信,成都酒店,成都住宿筛选,再看看通勤和接驳,兄弟竞争；多意图,
challenge_hotel_travel_cn_f01,challenge,formal_challenge_000015,hotel.travel.cn,hotel.travel.cn,travel,hotel,否,非工信,酒店筛选,找酒店,无,兄弟竞争,
dev_flight_travel_cn_f01,dev,formal_dev_000040,flight.travel.cn,flight.travel.cn,travel,flight,否,非工信,航班选择,查航班,顺便看看天气,兄弟竞争；跨域重叠；多意图,
blind_flight_travel_cn_f01,blind,formal_blind_000026,flight.travel.cn,flight.travel.cn,travel,flight,否,非工信,航班选择,查航班,无,兄弟竞争,
challenge_flight_travel_cn_f01,challenge,formal_challenge_000016,flight.travel.cn,flight.travel.cn,travel,flight,否,非工信,航班选择,查航班,无,兄弟竞争,
dev_restaurant_travel_cn_f01,dev,formal_dev_000041,restaurant.travel.cn,restaurant.travel.cn,travel,restaurant,否,非工信,餐厅门店,找吃饭的地方,再看看有没有可用优惠,跨域重叠；多意图,
blind_restaurant_travel_cn_f01,blind,formal_blind_000027,restaurant.travel.cn,restaurant.travel.cn,travel,restaurant,否,非工信,餐厅门店,找吃饭的地方,无,跨域重叠,
dev_activity_travel_cn_f01,dev,formal_dev_000042,activity.travel.cn,activity.travel.cn,travel,activity,否,非工信,活动景点,找活动,顺便看看天气,兄弟竞争；跨域重叠；多意图,
blind_activity_travel_cn_f01,blind,formal_blind_000028,activity.travel.cn,activity.travel.cn,travel,activity,否,非工信,活动景点,找活动,无,兄弟竞争,
challenge_activity_travel_cn_f01,challenge,formal_challenge_000017,activity.travel.cn,activity.travel.cn,travel,activity,否,非工信,活动景点,找活动,无,兄弟竞争,
dev_transport_travel_cn_f01,dev,formal_dev_000043,transport.travel.cn,transport.travel.cn,travel,transport,否,工信,交通接驳,交通安排,再看看住处选得合不合适,兄弟竞争；多意图,
blind_transport_travel_cn_f01,blind,formal_blind_000029,transport.travel.cn,transport.travel.cn,travel,transport,否,非工信,交通接驳,交通安排,再看看住处选得合不合适,兄弟竞争；多意图,
challenge_transport_travel_cn_f01,challenge,formal_challenge_000018,transport.travel.cn,transport.travel.cn,travel,transport,否,非工信,交通接驳,交通安排,无,兄弟竞争,
dev_weather_cn_f01,dev,formal_dev_000044,weather.cn,weather.cn,weather,,否,非工信,天气情况,天气查询,无,跨域重叠,
dev_weather_cn_f02,dev,formal_dev_000045,weather.cn,weather.cn,weather,,否,工信,天气情况,天气查询,再把行程顺一下,跨域重叠；多意图,
blind_weather_cn_f01,blind,formal_blind_000030,weather.cn,weather.cn,weather,,否,非工信,天气情况,天气查询,无,跨域重叠,
challenge_weather_cn_f01,challenge,formal_challenge_000019,weather.cn,weather.cn,weather,,否,非工信,天气情况,天气查询,无,跨域重叠,
dev_nutrition_health_cn_f01,dev,formal_dev_000046,nutrition.health.cn,nutrition.health.cn,health,nutrition,否,非工信,饮食调整,营养规划,再补一点运动建议,跨域重叠；多意图,
blind_nutrition_health_cn_f01,blind,formal_blind_000031,nutrition.health.cn,nutrition.health.cn,health,nutrition,否,非工信,饮食调整,营养规划,无,跨域重叠,
challenge_nutrition_health_cn_f01,challenge,formal_challenge_000020,nutrition.health.cn,nutrition.health.cn,health,nutrition,否,非工信,饮食调整,营养规划,无,跨域重叠,
dev_fitness_health_cn_f01,dev,formal_dev_000047,fitness.health.cn,fitness.health.cn,health,fitness,否,非工信,训练安排,健身规划,无,跨域重叠,
blind_fitness_health_cn_f01,blind,formal_blind_000032,fitness.health.cn,fitness.health.cn,health,fitness,否,非工信,训练安排,健身规划,无,跨域重叠,
challenge_fitness_health_cn_f01,challenge,formal_challenge_000021,fitness.health.cn,fitness.health.cn,health,fitness,否,非工信,训练安排,健身规划,无,跨域重叠,
dev_clinic_health_cn_f01,dev,formal_dev_000048,clinic.health.cn,clinic.health.cn,health,clinic,否,非工信,门诊就医,门诊信息查询,再顺手看下相关课程科普,跨域重叠；多意图,
blind_clinic_health_cn_f01,blind,formal_blind_000033,clinic.health.cn,clinic.health.cn,health,clinic,否,非工信,门诊就医,门诊信息查询,无,跨域重叠,
challenge_clinic_health_cn_f01,challenge,formal_challenge_000022,clinic.health.cn,clinic.health.cn,health,clinic,否,非工信,门诊就医,门诊信息查询,无,跨域重叠,
dev_course_education_cn_f01,dev,formal_dev_000049,course.education.cn,course.education.cn,education,course,否,工信,课程学习,课程选择,再看看要不要找人辅导,跨域重叠；多意图,
blind_course_education_cn_f01,blind,formal_blind_000034,course.education.cn,course.education.cn,education,course,否,非工信,课程学习,课程选择,无,跨域重叠,
challenge_course_education_cn_f01,challenge,formal_challenge_000023,course.education.cn,course.education.cn,education,course,否,非工信,课程学习,课程选择,无,跨域重叠,
dev_tutoring_education_cn_f01,dev,formal_dev_000050,tutoring.education.cn,tutoring.education.cn,education,tutoring,否,非工信,辅导答疑,找辅导,再配一门适合的课程,跨域重叠；多意图,
blind_tutoring_education_cn_f01,blind,formal_blind_000035,tutoring.education.cn,tutoring.education.cn,education,tutoring,否,非工信,辅导答疑,找辅导,无,跨域重叠,
challenge_tutoring_education_cn_f01,challenge,formal_challenge_000024,tutoring.education.cn,tutoring.education.cn,education,tutoring,否,非工信,辅导答疑,找辅导,无,跨域重叠,
